Team,Sck,Comb,Asst,Solo
,47,1005,253,683
49ers,,,,
,28,923,184,689
Bears,,,,
,41,1135,401,695
Bengals,,,,
,46,1049,283,679
Bills,,,,
,40,962,202,724
Broncos,,,,
,66,916,199,694
Browns,,,,
,35,1065,240,705
Buccaneers,,,,
,41,1003,223,737
Cardinals,,,,
,36,986,238,656
Chargers,,,,
,32,1011,226,749
Chiefs,,,,
,44,996,285,702
Colts,,,,
,28,1091,342,673
Cowboys,,,,
,30,954,253,660
Dolphins,,,,
,33,1025,228,771
Eagles,,,,
,37,970,220,710
Falcons,,,,
,22,1142,342,590
Giants,,,,
,34,953,171,751
Jaguars,,,,
,35,1034,368,620
Jets,,,,
,37,947,233,675
Lions,,,,
,35,983,225,711
Packers,,,,
,36,1072,409,626
Panthers,,,,
,24,1175,467,679
Patriots,,,,
,18,1004,191,756
Raiders,,,,
,49,969,235,699
Rams,,,,
,33,1077,304,731
Ravens,,,,
Redskins,23,1045,314,645
,27,1074,260,770
Saints,,,,
,42,1097,432,639
Seahawks,,,,
,21,1048,319,630
Steelers,,,,
,32,1108,355,698
Texans,,,,
,28,982,252,714
Titans,,,,
,38,1034,257,756
Vikings,,,,